sponsor_ein,plan_number,plan_year,sponsor,plan_name,sponsor_plan_key,issuer_name,investment_description,asset_type,morningstar_ticker,par_value,cost,current_value,units_or_shares,page_number,row_id,confidence
,001,2024,,Fidelity401K 5500,,,HENNESSY SMALL CAPFINANCIAL INVSTR CL,Other,,,,"31,575",,51,12,
,001,2024,,Fidelity401K 5500,,,HODGES BLUE CHIP EQINCOME FD RETAIL,Other,,,,728,,51,13,
,001,2024,,Fidelity401K 5500,,,HODGES FUND FUNDRETAIL CLASS,Mutual Fund,,,,"47,902",,51,14,
,001,2024,,Fidelity401K 5500,,,HODGES SMALL CAPFUND RETAIL CLASS,Mutual Fund,,,,"41,976",,51,15,
,001,2024,,Fidelity401K 5500,,,HODGES SMALL CAPINSTITUTIONAL CL,Other,,,,"3,841",,51,16,
,001,2024,,Fidelity401K 5500,,,HOOD RIVER SMALL CAPGROWTH FUND INSTL,Mutual Fund,,,,"114,012",,51,17,
,001,2024,,Fidelity401K 5500,,,HORIZON MULTI FACTORU.S. EQUITY ADVISOR,Other,,,,107,,51,18,
,001,2024,,Fidelity401K 5500,,,HOTCHKIS & WILEY MIDCAP VALUE CL A,Other,,,,348,,51,19,
,001,2024,,Fidelity401K 5500,,,HOTCHKIS & WILEYHIGH YIELD FUND CL A,Mutual Fund,,,,"3,922",,51,20,
,001,2024,,Fidelity401K 5500,,,HOTCHKIS & WILEYSMALL CAP VALUE CL A,Other,,,,"24,242",,51,21,
,001,2024,,Fidelity401K 5500,,,HOTCHKIS & WILEYSML CAP DIV VAL I,Other,,,,"35,786",,51,22,
,001,2024,,Fidelity401K 5500,,,HOTCHKIS & WILEYVALUE OPP CLASS A,Other,,,,"165,754",,51,23,
,001,2024,,Fidelity401K 5500,,,HUBER CAPITAL EQUITYINCOME FUND INSTL,Mutual Fund,,,,"39,844",,51,24,
,001,2024,,Fidelity401K 5500,,,HUBER CAPITAL EQUITYINCOME FUND INVESTOR,Mutual Fund,,,,325,,51,25,
,001,2024,,Fidelity401K 5500,,,HUSSMAN STRATEGICMARKET CYCLE,Other,,,,"66,986",,51,26,
,001,2024,,Fidelity401K 5500,,,ICON CONSUMERSELECT FUND INSTL,Mutual Fund,,,,"29,535",,51,27,
,001,2024,,Fidelity401K 5500,,,ICON EQUITY FUNDINVESTOR,Mutual Fund,,,,387,,51,28,
,001,2024,,Fidelity401K 5500,,,ICON HEALTH ANDINFORM TECH INSTL,Other,,,,"63,949",,51,29,
,001,2024,,Fidelity401K 5500,,,ICON NATURAL RESAND INFRA FUND INSTL,Mutual Fund,,,,"118,749",,51,30,
,001,2024,,Fidelity401K 5500,,,IDX RISK MANAGEDBITCOIN FUND I,Mutual Fund,,,,"10,029",,51,31,
,001,2024,,Fidelity401K 5500,,,IMAN FUND RETAILSHARES,Mutual Fund,,,,"66,473",,51,32,
,001,2024,,Fidelity401K 5500,,,IMPAX ELLEVATE GLBLWOMENS LDERSP INV,Other,,,,469,,51,33,
,001,2024,,Fidelity401K 5500,,,IMPAX GLOBAL ENVIRONMARKETS INVESTOR,Other,,,,"61,471",,51,34,
,001,2024,,Fidelity401K 5500,,,IMPAX GLOBAL SUSTAININFRASTRUCTURE INSTL,Other,,,,224,,51,35,
,001,2024,,Fidelity401K 5500,,,IMPAX LARGE CAP FDINVESTOR,Other,,,,10,,51,36,
,001,2024,,Fidelity401K 5500,,,IMPAX SMALL CAPFD INVESTOR CL,Other,,,,"10,409",,51,37,
,001,2024,,Fidelity401K 5500,,,IMPAX SUSTAINABLEALLOCATION INVESTOR,Other,,,,"249,301",,51,38,
,001,2024,,Fidelity401K 5500,,,IMPAX US SUSTAINABLEECONOMY INSTL,Other,,,,"75,977",,51,39,
,001,2024,,Fidelity401K 5500,,,INDUSTRIALS ULTRASECTOR PRO FDS -INV,Other,,,,"4,333",,51,40,
,001,2024,,Fidelity401K 5500,,,INTERNET ULTRASECTORPRO FD INVESTOR,Other,,,,"69,214",,51,41,
,001,2024,,Fidelity401K 5500,,,INTREPID CAPITALFUND INVESTOR CLASS,Mutual Fund,,,,3,,51,42,
,001,2024,,Fidelity401K 5500,,,INTREPID INCOMEFUND INSTITUTIONAL,Mutual Fund,,,,"211,091",,51,43,
,001,2024,,Fidelity401K 5500,,,INVENOMIC INSTL CL,Other,,,,"474,755",,51,44,
,001,2024,,Fidelity401K 5500,,,INVENOMIC INVESTORCLASS,Other,,,,"86,037",,51,45,
,001,2024,,Fidelity401K 5500,,,INVESCO FLOATINGRATE ESG CLASS A,Other,,,,"38,551",,51,46,
,001,2024,,Fidelity401K 5500,,,INVESCO COMSTOCKFUND CL A,Common Stock,,,,162,,51,47,
,001,2024,,Fidelity401K 5500,,,INVESCO COMSTOCKSELECT A,Common Stock,,,,36,,51,48,
,001,2024,,Fidelity401K 5500,,,INVESCO CORE BOND A,Corporate Bond,,,,"24,507",,51,49,
,001,2024,,Fidelity401K 5500,,,INVESCO CORPORATEBOND FUND CL A,Corporate Bond,,,,"65,266",,51,50,
,001,2024,,Fidelity401K 5500,,,INVESCO DIVERSIFIEDDIVIDEND CLASS A,Other,,,,"53,708",,52,1,
,001,2024,,Fidelity401K 5500,,,INVESCO DIVERSIFIEDDIVIDEND FUND CL R5,Mutual Fund,,,,"4,959",,52,2,
,001,2024,,Fidelity401K 5500,,,INVESCO DIVIDENDINCOME FUND A,Mutual Fund,,,,"12,953",,52,3,
,001,2024,,Fidelity401K 5500,,,INVESCO ENERGY CLASSA,Other,,,,"74,674",,52,4,
,001,2024,,Fidelity401K 5500,,,INVESCO EQUALLYWEIGHTED S&P 500 A,Other,,,,"294,033",,52,5,
,001,2024,,Fidelity401K 5500,,,INVESCO EQV EUROPEANEQUITY CLASS A,Other,,,,"9,062",,52,6,
,001,2024,,Fidelity401K 5500,,,INVESCO GLOBAL A,Other,,,,"1,874",,52,7,
,001,2024,,Fidelity401K 5500,,,INVESCO GLOBALOPPORTUNITIES A,Other,,,,"122,249",,52,8,
,001,2024,,Fidelity401K 5500,,,INVESCO GLOBALOPPORTUNITIES R,Other,,,,"10,485",,52,9,
,001,2024,,Fidelity401K 5500,,,INVESCO GOLD & SPECMINERALS A,Other,,,,"1,469,365",,52,10,
,001,2024,,Fidelity401K 5500,,,INVESCO GREATERCHINA CLASS A,Other,,,,"3,182",,52,11,
,001,2024,,Fidelity401K 5500,,,INVESCO INTL SMALLMID COMPANY A,Other,,,,"279,655",,52,12,
,001,2024,,Fidelity401K 5500,,,INVESCO S&P 500INDEX CLASS A,Other,,,,"158,600",,52,13,
,001,2024,,Fidelity401K 5500,,,INVESCO SENIORFLOATING RATE A,Other,,,,"36,444",,52,14,
,001,2024,,Fidelity401K 5500,,,INVESCO SMALL CAPVALUE FUND CL A,Mutual Fund,,,,741,,52,15,
,001,2024,,Fidelity401K 5500,,,INVESCO STEELPATHMLP ALPHA A,Other,,,,645,,52,16,
,001,2024,,Fidelity401K 5500,,,INVESCO STEELPATHMLP ALPHA PLUS A,Other,,,,"34,689",,52,17,
,001,2024,,Fidelity401K 5500,,,INVESCO STEELPATHMLP INCOME A,Other,,,,"782,594",,52,18,
,001,2024,,Fidelity401K 5500,,,INVESCO STEELPATHMLP SELECT 40 A,Other,,,,"9,538",,52,19,
,001,2024,,Fidelity401K 5500,,,INVESCO SUMMITCLASS A,Other,,,,584,,52,20,
,001,2024,,Fidelity401K 5500,,,INVESCO TECHNOLOGYCLASS A,Other,,,,"22,696",,52,21,
,001,2024,,Fidelity401K 5500,,,INVESCO VALUEOPPORTUNITIES FUND A,Mutual Fund,,,,202,,52,22,
,001,2024,,Fidelity401K 5500,,,IRONCLAD MANAGEDRISK FUND,Mutual Fund,,,,"6,225",,52,23,
,001,2024,,Fidelity401K 5500,,,ISHARES S&P 500INDEX INSTITUTIONAL,Other,,,,"174,249",,52,24,
,001,2024,,Fidelity401K 5500,,,ISHARES S&P 500INDEX INVESTOR A,Other,,,,"1,525,864",,52,25,
,001,2024,,Fidelity401K 5500,,,ISHARES DEVELOPEDREAL ESTATE IDX INST,Real Estate,,,,"26,511",,52,26,
,001,2024,,Fidelity401K 5500,,,ISHARES DEVELOPEDRL ESTATE IDX INV A,Other,,,,"6,606",,52,27,
,001,2024,,Fidelity401K 5500,,,ISHARES MSCI EAFEINTL IDX CL A,Other,,,,"1,504",,52,28,
,001,2024,,Fidelity401K 5500,,,ISHARES MSCI EAFEINTL IDX INSTL,Other,,,,"52,905",,52,29,
,001,2024,,Fidelity401K 5500,,,ISHARES RUSSELL 2000SMALL CAP IDX INSTL,Other,,,,"34,338",,52,30,
,001,2024,,Fidelity401K 5500,,,ISHARES RUSSELL 2000SMALL CAP IDX INV A,Other,,,,"119,734",,52,31,
,001,2024,,Fidelity401K 5500,,,ISHARES RUSSELL SMMID CP IDX INV A,Other,,,,"43,040",,52,32,
,001,2024,,Fidelity401K 5500,,,ISHARES S&P 500INDEX SERVICE,Other,,,,"320,537",,52,33,
,001,2024,,Fidelity401K 5500,,,ISHARES TOTAL USSTOCK MRKT INDEX INS,Common Stock,,,,"13,567",,52,34,
,001,2024,,Fidelity401K 5500,,,ISHARES TOTAL USSTOCK MRKT INDX A,Common Stock,,,,"61,583",,52,35,
,001,2024,,Fidelity401K 5500,,,JACKSON SQUARE SMIDCAP GROWTH FD INVEST,Other,,,,"7,351",,52,36,
,001,2024,,Fidelity401K 5500,,,JACOB INTERNET,Other,,,,"96,304",,52,37,
,001,2024,,Fidelity401K 5500,,,JACOB MICRO CAPGROWTH INSTL CL,Other,,,,"4,311",,52,38,
,001,2024,,Fidelity401K 5500,,,JACOB MICRO CAPGROWTH INV CL,Other,,,,"26,156",,52,39,
,001,2024,,Fidelity401K 5500,,,JACOB SMALL CAPGROWTH FUND,Mutual Fund,,,,778,,52,40,
,001,2024,,Fidelity401K 5500,,,JAMES BALANCED:GOLDEN RAINBOW FUND,Mutual Fund,,,,"4,203",,52,41,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSON ABSRET INC OPPOR T,Other,,,,4,,52,42,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSON ADAPRISK MNGD US EQ CL T,Other,,,,"25,720",,52,43,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSON GLBLEQUITY INCOME CL A,Other,,,,"4,986",,52,44,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSON GLBLEQUITY INCOME T,Other,,,,"55,806",,52,45,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSON GLREAL ESTATE I,Real Estate,,,,"2,858",,52,46,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSON SMMID CAP VALUE T,Other,,,,"53,996",,52,47,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONBALANCED I,Other,,,,"12,322",,52,48,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONBALANCED T,Other,,,,"1,160,070",,52,49,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONENTERPRISE I,Other,,,,"102,566",,53,1,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONENTERPRISE T,Other,,,,"955,209",,53,2,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONEUROPEAN FOCUS A,Other,,,,"6,746",,53,3,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONEUROPEAN FOCUS CL T,Other,,,,"56,354",,53,4,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONEUROPEAN FOCUS I,Other,,,,"14,286",,53,5,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONFORTY T,Other,,,,"58,346",,53,6,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONGL LIFE SCIENCES I,Other,,,,"8,395",,53,7,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONGL LIFE SCIENCES T,Other,,,,"1,719,015",,53,8,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONGLOB TECH & INNOV I,Other,,,,"136,713",,53,9,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONGLOB TECH & INNOV T,Other,,,,"868,127",,53,10,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONGLOBAL RESEACH T,Other,,,,"58,614",,53,11,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONGLOBAL SELECT T,Other,,,,"14,161",,53,12,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONGROWTH & INCOME T,Other,,,,"21,791",,53,13,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONHIGH-YIELD T,Other,,,,"4,956",,53,14,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONMULTI-SECTOR INCME I,Other,,,,"5,217",,53,15,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONMULTISECTOR INCOME T,Other,,,,"11,079",,53,16,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONOVERSEAS I,Other,,,,"28,452",,53,17,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONOVERSEAS T,Other,,,,"3,208",,53,18,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONRESEARCH T,Other,,,,"264,284",,53,19,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONRESPONS INTL DIV T,Other,,,,"34,712",,53,20,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONSMALL CAP VALUE T,Other,,,,"18,555",,53,21,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONTRITON T,Other,,,,"94,360",,53,22,
,001,2024,,Fidelity401K 5500,,,JANUS HENDERSONVENTURE T,Other,,,,"180,641",,53,23,
,001,2024,,Fidelity401K 5500,,,JENSEN QUALITY VALUEFUND CLASS J,Mutual Fund,,,,"17,900",,53,24,
,001,2024,,Fidelity401K 5500,,,JENSEN QUALITYGROWTH FD CL I,Other,,,,"66,978",,53,25,
,001,2024,,Fidelity401K 5500,,,JENSEN QUALITYGROWTH FD CL J,Other,,,,"97,481",,53,26,
,001,2024,,Fidelity401K 5500,,,JOHCM GLOBAL SELECTADV,Other,,,,"7,492",,53,27,
,001,2024,,Fidelity401K 5500,,,JOHCM INTERNATIONALSELECT INV,Other,,,,"51,526",,53,28,
,001,2024,,Fidelity401K 5500,,,JOHN HAN DISCIPLINEDVALUE MID CAP CL I,Other,,,,"31,569",,53,29,
,001,2024,,Fidelity401K 5500,,,JOHN HANCOCK BLUECHIP GROWTH CL A,Other,,,,"29,182",,53,30,
,001,2024,,Fidelity401K 5500,,,JOHN HANCOCK BONDFUND CLASS I,Corporate Bond,,,,"380,455",,53,31,
,001,2024,,Fidelity401K 5500,,,JOHN HANCOCK CLASSICVALUE CL A,Other,,,,"1,484",,53,32,
,001,2024,,Fidelity401K 5500,,,JOHN HANCOCK DISCIPLVAL GLB LONG SHORT A,Other,,,,"8,708",,53,33,
,001,2024,,Fidelity401K 5500,,,JOHN HANCOCK ESG LRGCAP CORE FUND CL I,Mutual Fund,,,,"1,474",,53,34,
,001,2024,,Fidelity401K 5500,,,JOHN HANCOCK FDMTLALL CAP CORE CL I,Other,,,,"6,870",,53,35,
,001,2024,,Fidelity401K 5500,,,JOHN HANCOCK FDMTLLRG CAP CORE CL A,Other,,,,"11,931",,53,36,
,001,2024,,Fidelity401K 5500,,,JOHN HANCOCK FINC'LINDUSTRIES CLASS A,Other,,,,"6,076",,53,37,
,001,2024,,Fidelity401K 5500,,,JOHN HANCOCK IIINTL SM COMPANY A,Other,,,,"23,864",,53,38,
,001,2024,,Fidelity401K 5500,,,JOHN HANCOCK INTLDYNAMIC GROWTH A,Other,,,,"1,147",,53,39,
,001,2024,,Fidelity401K 5500,,,JOHN HANCOCK REALESTATE SECURITIES A,Real Estate,,,,"12,893",,53,40,
,001,2024,,Fidelity401K 5500,,,JOHN HANCOCK SMALLCAP CORE FUND CL A,Mutual Fund,,,,12,,53,41,
,001,2024,,Fidelity401K 5500,,,JOHN HANCOCK USGROWTH FUND CL A,Mutual Fund,,,,"13,372",,53,42,
,001,2024,,Fidelity401K 5500,,,JOHN HANCOCKINCOME FUND A,Mutual Fund,,,,139,,53,43,
,001,2024,,Fidelity401K 5500,,,JOHN HANCOCKINFRASTRUCTURE A,Other,,,,8,,53,44,
,001,2024,,Fidelity401K 5500,,,JOHN HANCOCKREGIONAL BANK CL A,Other,,,,"9,275",,53,45,
,001,2024,,Fidelity401K 5500,,,JOHN HANCOCKREGIONAL BANK CL I,Other,,,,"147,291",,53,46,
,001,2024,,Fidelity401K 5500,,,JP MORGAN HEDGEDEQUITY 3 FD I,Other,,,,300,,53,47,
,001,2024,,Fidelity401K 5500,,,JP MORGAN INTLHEDGED EQUITY CL A,Other,,,,376,,53,48,
,001,2024,,Fidelity401K 5500,,,JPMORGAN CORE PLUSBOND CLASS I,Corporate Bond,,,,"29,207",,54,1,
,001,2024,,Fidelity401K 5500,,,JPMORGAN DIVERS MIDCAP GROWTH CLASS I,Other,,,,"4,286",,54,2,
,001,2024,,Fidelity401K 5500,,,JPMORGAN EMERGINGMARKETS EQUITY CL A,Other,,,,"66,582",,54,3,
,001,2024,,Fidelity401K 5500,,,JPMORGAN EQUITY PREMINCOME CL I,Other,,,,"47,963",,54,4,
,001,2024,,Fidelity401K 5500,,,JPMORGAN EQUITYINCOME FUND CL A,Mutual Fund,,,,"68,508",,54,5,
,001,2024,,Fidelity401K 5500,,,JPMORGAN EQUITYINDEX FUND CLASS A,Mutual Fund,,,,"1,906",,54,6,
,001,2024,,Fidelity401K 5500,,,JPMORGAN EQUITYPREMIUM INCOME CL A,Other,,,,"108,343",,54,7,
,001,2024,,Fidelity401K 5500,,,JPMORGAN EUROPEDYNAMIC CLASS A,Other,,,,"3,043",,54,8,
,001,2024,,Fidelity401K 5500,,,JPMORGAN GLOBALALLOCATION FUND CL A,Mutual Fund,,,,"16,576",,54,9,
,001,2024,,Fidelity401K 5500,,,JPMORGAN GROWTHADVANTAGE FUND CL A,Mutual Fund,,,,"125,229",,54,10,
,001,2024,,Fidelity401K 5500,,,JPMORGAN GRWTH ADVFUND CLASS I,Mutual Fund,,,,"5,776",,54,11,
,001,2024,,Fidelity401K 5500,,,JPMORGAN HEDGEDEQUITY 2 FUND A,Mutual Fund,,,,"81,605",,54,12,
,001,2024,,Fidelity401K 5500,,,JPMORGAN HEDGEDEQUITY 3 FUND A,Mutual Fund,,,,"105,509",,54,13,
,001,2024,,Fidelity401K 5500,,,JPMORGAN HEDGEDEQUITY CLASS A,Other,,,,"48,599",,54,14,
,001,2024,,Fidelity401K 5500,,,JPMORGAN HEDGEDEQUITY CLASS I,Other,,,,"62,642",,54,15,
,001,2024,,Fidelity401K 5500,,,JPMORGAN INCOME FUNDCLASS A,Mutual Fund,,,,"12,192",,54,16,
,001,2024,,Fidelity401K 5500,,,JPMORGAN INCOME FUNDCLASS I,Mutual Fund,,,,"2,756",,54,17,
,001,2024,,Fidelity401K 5500,,,JPMORGAN INTERNATLVALUE FUND CLASS A,Mutual Fund,,,,600,,54,18,
,001,2024,,Fidelity401K 5500,,,JPMORGAN INTERNTLEQUITY FUND CLASS I,Mutual Fund,,,,"2,529",,54,19,
,001,2024,,Fidelity401K 5500,,,JPMORGAN INVESTORGROWTH & INCOME CL A,Other,,,,"23,452",,54,20,
,001,2024,,Fidelity401K 5500,,,JPMORGAN INVESTORGROWTH FUND CLASS A,Mutual Fund,,,,"443,862",,54,21,
,001,2024,,Fidelity401K 5500,,,JPMORGAN INVESTORGROWTH FUND CLASS I,Mutual Fund,,,,"43,779",,54,22,
,001,2024,,Fidelity401K 5500,,,JPMORGAN LARGE CAPGROWTH CLASS A,Other,,,,"38,056",,54,23,
,001,2024,,Fidelity401K 5500,,,JPMORGAN LARGE CAPGROWTH CLASS I,Other,,,,"634,624",,54,24,
,001,2024,,Fidelity401K 5500,,,JPMORGAN LARGE CAPVALUE FUND CLASS A,Mutual Fund,,,,"17,924",,54,25,
,001,2024,,Fidelity401K 5500,,,JPMORGAN MID CAPGROWTH FUDN CLASS A,Other,,,,"5,312",,54,26,
,001,2024,,Fidelity401K 5500,,,JPMORGAN PREFERREDAND INC SECURITIES I,Other,,,,"12,438",,54,27,
,001,2024,,Fidelity401K 5500,,,JPMORGAN RESEARCHMKT NEUTRAL CLASS A,Other,,,,"20,906",,54,28,
,001,2024,,Fidelity401K 5500,,,JPMORGAN SMALL CAPBLEND CL I,Other,,,,"4,975",,54,29,
,001,2024,,Fidelity401K 5500,,,JPMORGAN SMALL CAPEQUITY FND CLASS I,Other,,,,"5,014",,54,30,
,001,2024,,Fidelity401K 5500,,,JPMORGAN U.S. GARPEQUITY FUND CL A,Mutual Fund,,,,"266,047",,54,31,
,001,2024,,Fidelity401K 5500,,,JPMORGAN UNDISCOVERDMNG BEHAVIOR CL I,Other,,,,"1,645",,54,32,
,001,2024,,Fidelity401K 5500,,,JPMORGAN US EQUITYFUND CLASS A,Mutual Fund,,,,"140,561",,54,33,
,001,2024,,Fidelity401K 5500,,,JPMORGAN US LG CAPCORE PLUS CLASS I,Other,,,,"215,130",,54,34,
,001,2024,,Fidelity401K 5500,,,JPMORGAN US RESEARCHENHANCED EQ CL I,Other,,,,"69,999",,54,35,
,001,2024,,Fidelity401K 5500,,,JPMORGAN US SUSTAINLEADERS CL A,Other,,,,"26,899",,54,36,
,001,2024,,Fidelity401K 5500,,,JPMORGAN VALUE ADVFD CLASS L,Other,,,,"7,070",,54,37,
,001,2024,,Fidelity401K 5500,,,JPMORGAN VALUEADVANTAGE CL A,Other,,,,"33,591",,54,38,
,001,2024,,Fidelity401K 5500,,,KINETICS GLOBAL FUNDNO LOAD CLASS SHARES,Mutual Fund,,,,"27,596",,54,39,
,001,2024,,Fidelity401K 5500,,,KINETICS MARKETOPPORTUNITIES FD,Other,,,,"460,090",,54,40,
,001,2024,,Fidelity401K 5500,,,KINETICS PARADIGM FDINSTIT CL,Other,,,,"127,428",,54,41,
,001,2024,,Fidelity401K 5500,,,KINETICS SMALL CAPOPPORTUNITIES,Other,,,,"1,065,462",,54,42,
,001,2024,,Fidelity401K 5500,,,KINETICS SMALL CAPOPPORTUNITIES INSTL,Other,,,,"220,510",,54,43,
,001,2024,,Fidelity401K 5500,,,KINETICSPARADIGM FUND,Mutual Fund,,,,"980,541",,54,44,
,001,2024,,Fidelity401K 5500,,,KOPERNIK GLOBAL ALLCAP FUND INSTL,Mutual Fund,,,,"47,919",,54,45,
,001,2024,,Fidelity401K 5500,,,LAZARD EMERGING MKTSEQUITY OPEN CL SHRS,Other,,,,"1,109",,54,46,
,001,2024,,Fidelity401K 5500,,,LAZARD GLOBAL LISTEDINFRASTRUCTE INSTL,Other,,,,"193,183",,54,47,
,001,2024,,Fidelity401K 5500,,,LAZARD GLOBAL LISTEDINFRASTRUCTURE OPEN,Other,,,,"593,175",,54,48,
,001,2024,,Fidelity401K 5500,,,LAZARD INTL STRATEGYEQUITY PORT INTL CL,Other,,,,"108,144",,54,49,
,001,2024,,Fidelity401K 5500,,,LAZARD US EQTY CONCENTRATED PRT OPEN SHS,Other,,,,"25,684",,54,50,
,001,2024,,Fidelity401K 5500,,,LAZARD USSUSTAINABLE EQ OPEN,Other,,,,397,,55,1,
,001,2024,,Fidelity401K 5500,,,LEUTHOLD GRIZZLYSHORT FUND,Mutual Fund,,,,"42,773",,55,2,
,001,2024,,Fidelity401K 5500,,,LOOMIS SAYLES BONDINSTL,Corporate Bond,,,,"112,407",,55,3,
,001,2024,,Fidelity401K 5500,,,LOOMIS SAYLES BONDRETAIL SHARES,Corporate Bond,,,,"73,273",,55,4,
,001,2024,,Fidelity401K 5500,,,LOOMIS SAYLES COREPLUS BD FD CL A,Other,,,,"29,924",,55,5,
,001,2024,,Fidelity401K 5500,,,LOOMIS SAYLES COREPLUS BOND FUND CL Y,Corporate Bond,,,,"27,892",,55,6,
,001,2024,,Fidelity401K 5500,,,LOOMIS SAYLES GLOBALALLOCATION CLASS Y,Other,,,,"5,905",,55,7,
,001,2024,,Fidelity401K 5500,,,LOOMIS SAYLES GROWTHCL Y,Other,,,,"5,565",,55,8,
,001,2024,,Fidelity401K 5500,,,LOOMIS SAYLES INFLATPROT SEC INST'L,Other,,,,"3,809",,55,9,
,001,2024,,Fidelity401K 5500,,,LOOMIS SAYLES INVSTGRADE BOND CL A,Corporate Bond,,,,"39,573",,55,10,
,001,2024,,Fidelity401K 5500,,,LOOMIS SAYLES SMALLCAP GRWTH RETAIL,Other,,,,"3,364",,55,11,
,001,2024,,Fidelity401K 5500,,,LOOMIS SAYLESGROWTH CL A,Other,,,,"59,836",,55,12,
,001,2024,,Fidelity401K 5500,,,LORD ABBETT BONDDEBENTURE CLASS A,Corporate Bond,,,,"12,041",,55,13,
,001,2024,,Fidelity401K 5500,,,LORD ABBETT DEVELOPGROWTH CLASS A,Other,,,,"127,842",,55,14,
,001,2024,,Fidelity401K 5500,,,LORD ABBETT FOCUSEDSMALL CAP VALUE A,Other,,,,"17,830",,55,15,
,001,2024,,Fidelity401K 5500,,,LORD ABBETT GROWTHLEADERS FUND CL A,Mutual Fund,,,,"69,820",,55,16,
,001,2024,,Fidelity401K 5500,,,LORD ABBETT HIGHYIELD CLASS A,Other,,,,"2,116",,55,17,
,001,2024,,Fidelity401K 5500,,,LORD ABBETT MICROCAP GROWTH FUND A,Mutual Fund,,,,"6,721",,55,18,
,001,2024,,Fidelity401K 5500,,,LORD ABBETT SHORTDURATION HI YIELD A,Other,,,,"538,517",,55,19,
,001,2024,,Fidelity401K 5500,,,LORD ABBETT SHORTDURATION INCOME CL A,Other,,,,"29,550",,55,20,
,001,2024,,Fidelity401K 5500,,,LORD ABBETTCONVERTIBLE FD CL A,Other,,,,"5,650",,55,21,
,001,2024,,Fidelity401K 5500,,,LSV SMALL CAP VALUEFUND INSTITUTIONAL,Mutual Fund,,,,"54,730",,55,22,
,001,2024,,Fidelity401K 5500,,,LSV SMALL CAP VALUEFUND INVESTOR,Mutual Fund,,,,"3,920",,55,23,
,001,2024,,Fidelity401K 5500,,,LSV VALUE EQUITYFUND INVESTOR,Mutual Fund,,,,"7,771",,55,24,
,001,2024,,Fidelity401K 5500,,,LSV VALUE EQUITYINSTITUTIONAL,Other,,,,"104,628",,55,25,
,001,2024,,Fidelity401K 5500,,,MACQUARIE ASSETSTRATEGY CL A,Other,,,,506,,55,26,
,001,2024,,Fidelity401K 5500,,,MACQUARIE EMERGMARKETS EQUITY A,Other,,,,"10,711",,55,27,
,001,2024,,Fidelity401K 5500,,,MACQUARIE INTLCORE EQUITY FD CL A,Other,,,,"142,113",,55,28,
,001,2024,,Fidelity401K 5500,,,MACQUARIE LARGECAP GROWTH A,Other,,,,"17,013",,55,29,
,001,2024,,Fidelity401K 5500,,,MACQUARIE MID CAPGROWTH CL A,Other,,,,455,,55,30,
,001,2024,,Fidelity401K 5500,,,MACQUARIE MID CAPINC OPPORTUNITIES A,Other,,,,"33,226",,55,31,
,001,2024,,Fidelity401K 5500,,,MADISON COVERED CALL& EQUITY INC INSTL,Other,,,,"27,117",,55,32,
,001,2024,,Fidelity401K 5500,,,MADISON INVESTORSFUND CL Y,Mutual Fund,,,,253,,55,33,
,001,2024,,Fidelity401K 5500,,,MADISON MID CAP FUNDCL Y,Mutual Fund,,,,"450,435",,55,34,
,001,2024,,Fidelity401K 5500,,,MAINGATE MLP FUND CLI,Mutual Fund,,,,"9,679",,55,35,
,001,2024,,Fidelity401K 5500,,,MAIRS & POWER GROWTHFUND,Mutual Fund,,,,"111,011",,55,36,
,001,2024,,Fidelity401K 5500,,,MANNING & NAPIER PROBLEND MAX TERM CL S,Other,,,,"45,589",,55,37,
,001,2024,,Fidelity401K 5500,,,MANNING & NAPIERDISCIPL VALUE SER I,Other,,,,"2,842",,55,38,
