issuer_name,investment_description,asset_type,par_value,cost,current_value,units_or_shares,page_number,row_id,pdf_name,pdf_stem,sponsor_ein,plan_number,plan_year,sponsor,plan_name,maturity
,,,,,,,88,2,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,,,,,,,88,3,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,,,,,,,88,4,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,,,,,,,88,5,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,,,,,,,88,6,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,,,,,,,88,7,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,,,,,,,88,8,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,,,,,,,88,9,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,,,,,,,88,10,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,,,,,,,88,11,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,,,,,,,88,12,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,,,,,,,88,13,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,,,,,,,88,14,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,Total Mutual Funds,Mutual Fund,,,"5,482,286,881",,88,17,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,Total Collective/Common Trust Funds,Common/Collective Trust Fund,,,"3,215,712,450",,88,33,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,"Total Lincoln Financial Group, BVW0010G",,,,"150,913,503",,89,9,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,"Total The Prudential Insurance Company of America, GA-63058",,,,"150,972,376",,89,17,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,"Total Transamerica Life Insurance Company, FDA00117TR",,,,"141,377,611",,89,26,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,"Total Voya Retirement Insurance and Annuity Company, MCA-60441",,,,"148,863,192",,89,34,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,,Total Fully Benefit-Responsive Investments with Financial Institutions,,,"592,126,682",,89,35,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,
,Total,,,,"$ 10,233,314,042",,90,9,20250925101201NAL0008396353001.pdf,20250925101201NAL0008396353001,,001,2024,,,nan
,,,,,,,16,7,20251006141123NAL0003741777001.pdf,20251006141123NAL0003741777001,,001,2024,,,
,,,,,,,23,3,20251006141123NAL0003741777001.pdf,20251006141123NAL0003741777001,,001,2024,,,
,,,,,,,14,7,20251008102359NAL0009553392001.pdf,20251008102359NAL0009553392001,23-1352685,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,19,6,20251008102359NAL0009553392001.pdf,20251008102359NAL0009553392001,23-1352685,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,19,8,20251008102359NAL0009553392001.pdf,20251008102359NAL0009553392001,23-1352685,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,21,3,20251008102359NAL0009553392001.pdf,20251008102359NAL0009553392001,23-1352685,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,29,6,20251008102359NAL0009553392001.pdf,20251008102359NAL0009553392001,23-1352685,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,29,8,20251008102359NAL0009553392001.pdf,20251008102359NAL0009553392001,23-1352685,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,29,10,20251008102359NAL0009553392001.pdf,20251008102359NAL0009553392001,23-1352685,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
