issuer_name,investment_description,asset_type,par_value,cost,current_value,units_or_shares,page_number,row_id,pdf_name,pdf_stem
,DOUBLELINE COREFIXED INCOME CL I,Mutual Fund,,,"79,364",,40,44,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DOUBLELINE EMERGINGMRTKS FIXED INC I,Mutual Fund,,,"3,065",,40,45,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DOUBLELINE FLEXIBLEINCOME CL I,Mutual Fund,,,"14,447",,40,46,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DOUBLELINE FLOATINGRATE FUND CL N,Mutual Fund,,,"64,160",,40,47,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DOUBLELINE LOW DURTNEMER MKTS FIX INC I,Mutual Fund,,,"28,138",,40,48,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DOUBLELINE LOWDURATION BOND CL I,Mutual Fund,,,"75,508",,41,1,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DOUBLELINE LOWDURATION CL N,Mutual Fund,,,"110,869",,41,2,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DOUBLELINE SHILLERENH INTL CAPE CL I,Mutual Fund,,,"2,415",,41,3,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DOUBLELINE SHILLERENHANCED CAP CL I,Mutual Fund,,,"296,354",,41,4,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DOUBLELINE SHILLERENHANCED CAP CL N,Mutual Fund,,,"377,069",,41,5,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DOUBLELINE STRATEGICCOMMODITY CL N,Mutual Fund,,,191,,41,6,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DOUBLELINE TOTAL RTBOND FD CL N,Mutual Fund,,,"163,412",,41,7,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DOUBLELINE TOTALRETURN BOND FD CL I,Mutual Fund,,,"257,340",,41,8,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DOW JONES WILSHIRE5000 INDEX PORT INVT,Mutual Fund,,,"8,726",,41,9,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DRIEHAUS EMERGINGMARKETS,Mutual Fund,,,"123,057",,41,10,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DRIEHAUS EMERGINGMARKETS SM CAP GRWTH,Mutual Fund,,,"5,844",,41,11,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DRIEHAUS EMERGINGMKTS GROWTH INSTL,Mutual Fund,,,"100,475",,41,12,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DRIEHAUS INTERNAT'LSMALL CAP GROWTH FD,Mutual Fund,,,"36,446",,41,13,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DRIEHAUS MICRO CAPGROWTH FUND,Mutual Fund,,,"322,842",,41,14,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DRIEHAUS SMALL CAPGROWTH INSTL CL,Mutual Fund,,,"10,449",,41,15,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DRIEHAUS SMALL CAPGROWTH INVESTOR CL,Mutual Fund,,,"111,988",,41,16,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DWS GLOBALINFRASTRU FD -INST,Mutual Fund,,,"3,789",,41,17,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DWS GLOBALINFRASTRUCTURE FD-A,Mutual Fund,,,"23,833",,41,18,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DWS LATIN AMERICAEQUITY FUND-A,Mutual Fund,,,"64,060",,41,19,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DWS SCIENCE ANDTECHNOLOGY FUND INST,Mutual Fund,,,"233,317",,41,20,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DWS SCIENCE ANDTECHNOLOGY FUND-A,Mutual Fund,,,"459,336",,41,21,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,DWS SCIENCE ANDTECHNOLOGY FUND-C,Mutual Fund,,,"9,095",,41,22,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE ATLANTACAP SMID CAP FD I,Mutual Fund,,,"38,839",,41,23,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE EMERGINGAND FRONT COUNT EQ A,Mutual Fund,,,"1,497",,41,24,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE EMERGINGAND FRONT COUNT EQ I,Mutual Fund,,,"84,355",,41,25,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE EMERGINGMRKTS DEBT OPPOR A,Mutual Fund,,,"138,172",,41,26,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE EMERGMKTS DB OPPOR CL I,Mutual Fund,,,"60,785",,41,27,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE EMRGMARKETS LOCAL INC A,Mutual Fund,,,"64,132",,41,28,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE EMRGMRKTS LOCAL INCOME I,Mutual Fund,,,"3,592",,41,29,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE FLOATINGRATE ADVANTAGE CL A,Mutual Fund,,,"7,838",,41,30,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE FLOATINGRATE CLASS I,Mutual Fund,,,"6,722",,41,31,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE FLOATINGRATE HI INCOME CL I,Mutual Fund,,,"3,783",,41,32,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE FOCUSEDVALUE OPPORT CL I,Mutual Fund,,,769,,41,33,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE GL MACROABSOLUTE RTRN ADV I,Mutual Fund,,,"25,103",,41,34,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE GL MACROABSOLUTE RTRN ADVT A,Mutual Fund,,,"4,935",,41,35,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE GREATERCHINA GROWTH CL A,Mutual Fund,,,"1,099",,41,36,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE GREATERINDIA FUND CLASS A,Mutual Fund,,,"203,492",,41,37,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE GREATERINDIA FUND CLASS I,Mutual Fund,,,"20,610",,41,38,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE HIGH INCOPPORTUNITIES CL A,Mutual Fund,,,"1,676",,41,39,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE HIGHINCOME OPPT CL I,Mutual Fund,,,"20,077",,41,40,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE MULTI -ASSET CREDIT FD CL A,Mutual Fund,,,999,,41,41,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE MULTI -ASSET CREDIT FD CL I,Mutual Fund,,,"11,215",,41,42,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE PARAMETRDIVIDEND INC CL A,Mutual Fund,,,"25,955",,41,43,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE SHORTDURATION GOV INC I,Mutual Fund,,,"7,285",,41,44,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE SHT DURSTRATEGIC INC A,Mutual Fund,,,"3,013",,41,45,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE SHT DURSTRATEGIC INC FD I,Mutual Fund,,,"7,658",,41,46,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCE TOTALRETURN BOND CL I,Mutual Fund,,,"13,442",,41,47,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EATON VANCEBALANCED CLASS A,Mutual Fund,,,"245,568",,41,48,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,ECOFIN GLOBAL RENINFRASTRUCTURE INSTL,Mutual Fund,,,"11,050",,41,49,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EDGEWOOD GROWTH FUNDINSTL CL,Mutual Fund,,,19,,41,50,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EDGEWOOD GROWTH FUNDRETAIL CLASS,Mutual Fund,,,"56,527",,42,1,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EMERALD FINANCE ANDBANKING INNOV INSTL,Mutual Fund,,,"1,076",,42,2,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EMERALD GROWTHINSTITUTIONAL,Mutual Fund,,,"5,353",,42,3,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,ENERGY ULTRASECTORPROFUND INVESTOR CL,Mutual Fund,,,"78,456",,42,4,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EP EMERGING MARKETSCLASS I,Mutual Fund,,,"72,227",,42,5,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EP INTERNATIONALVALUE FUND CL I,Mutual Fund,,,"11,946",,42,6,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EUROPAC GOLD FUNDCL I,Mutual Fund,,,"509,068",,42,7,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EUROPAC INTERNATNLDIVIDEND INC CL I,Mutual Fund,,,"11,904",,42,8,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EV FOCUSED VALUEOPPORTUNITIES CL A,Mutual Fund,,,"7,499",,42,9,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EVENTIDE BALANCEDFUND CL I,Mutual Fund,,,725,,42,10,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EVENTIDE CORE BONDFUND CL I,Mutual Fund,,,"7,186",,42,11,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EVENTIDE DIVIDENDGROWTH FUND CL I,Mutual Fund,,,"1,966",,42,12,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EVENTIDE DIVIDENDGROWTH FUND CL N,Mutual Fund,,,"2,423",,42,13,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EVENTIDE EXPONENTIALTECHNOLOGIES FD CL N,Mutual Fund,,,"40,411",,42,14,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EVENTIDE EXPONENTIALTECHNOLOGIES I,Mutual Fund,,,"29,126",,42,15,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EVENTIDE GILEADFUND CLASS I,Mutual Fund,,,"171,032",,42,16,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EVENTIDE GILEADFUND CLASS N,Mutual Fund,,,"493,771",,42,17,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EVENTIDE HEALTHCAREAND LIFE SCIENCES I,Mutual Fund,,,"66,253",,42,18,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EVENTIDE HEALTHCAREAND LIFE SCIENCES N,Mutual Fund,,,"293,061",,42,19,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,EVENTIDE LARGE CAPFOCUS FD CL I,Mutual Fund,,,"2,417",,42,20,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FA FOCUS EMRG MKTS Z (1),Mutual Fund,,,"379,087,863",,42,21,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FA GLB COMDTY STK Z (1),Mutual Fund,,,"103,634,722",,42,22,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FA GOV INCOME Z (1),Mutual Fund,,,"224,476,073",,42,23,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FA GROWTH OPPS Z (1),Mutual Fund,,,"517,960,111",,42,24,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FA HIGH INCOME Z (1),Mutual Fund,,,"52,570,912",,42,25,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FA INTL GROWTH Z (1),Mutual Fund,,,"274,203,387",,42,26,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FA INTL SM CAP Z (1),Mutual Fund,,,"193,594,908",,42,27,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FA INTL VALUE Z (1),Mutual Fund,,,"75,677,349",,42,28,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FA SM CAP VAL Z (1),Mutual Fund,,,"65,803,419",,42,29,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FA SMALL CAP Z (1),Mutual Fund,,,"11,070,152",,42,30,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FA STK SEL MID CAP Z (1),Mutual Fund,,,"20,496,452",,42,31,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FA STK SEL SM CAP Z (1),Mutual Fund,,,"259,298,810",,42,32,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FA STRAT INCOME Z (1),Mutual Fund,,,"253,988,842",,42,33,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FAIRHOLME FUND,Mutual Fund,,,"49,270",,42,34,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FAM DIVIDEND FOCUSFUND,Mutual Fund,,,"142,060",,42,35,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FEDERATED HERMES MDTALL CAP CORE CL A,Mutual Fund,,,645,,42,36,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FEDERATED HERMES MDTLARGE CAP GROWTH A,Mutual Fund,,,"163,989",,42,37,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FEDERATED HERMES MDTLARGE CAP GROWTH IS,Mutual Fund,,,"321,599",,42,38,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FEDERATED HERMES MDTMARKET NEUTRAL FD A,Mutual Fund,,,"119,016",,42,39,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FEDERATED HERMES MDTMID CAP GROWTH A,Mutual Fund,,,"34,096",,42,40,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FEDERATED HERMES MDTMID CAP GROWTH IS,Mutual Fund,,,"32,439",,42,41,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FEDERATED HERMES MDTSMALL CAP CORE IS,Mutual Fund,,,166,,42,42,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FEDERATED HERMES STRVAL DIV CL A,Mutual Fund,,,194,,42,43,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FEDERATED HERMESADJ RATE FUND CL IS,Mutual Fund,,,"5,032",,42,44,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FEDERATED HERMESCAPTL INCOME CL IS,Mutual Fund,,,"4,189",,42,45,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FEDERATED HERMESCLOVER SM VAL CL A,Mutual Fund,,,"39,564",,42,46,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FEDERATED HERMESINSTL HIGH YIELD A,Mutual Fund,,,"7,400",,42,47,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FEDERATED HERMESINSTL HIGH YLD BD IS,Mutual Fund,,,"3,987",,42,48,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FEDERATED HERMESKAUFMANN SM CAP A,Mutual Fund,,,"233,432",,42,49,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FEDERATED HERMESKAUFMANN SM CAP IS,Mutual Fund,,,"2,828",,42,50,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID 500 INDEX (1),Mutual Fund,,,"3,850,799,867",,43,10,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID ADV EMERGINGMARKETS FUND CL Z (1),Mutual Fund,,,"13,261",,43,2,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID ADVISOR CAPITAL& INCOME FUND CL I (1),Mutual Fund,,,"1,140",,43,3,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID ADVISOR STOCKSELECTR MID CAP CL I (1),Mutual Fund,,,"68,408",,43,4,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID BALANCED K6 (1),Mutual Fund,,,"270,200,452",,43,5,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID BLUE CHIP GR K6 (1),Mutual Fund,,,"1,943,699,017",,43,6,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID CONSV INC BD (1),Mutual Fund,,,"202,382,963",,43,7,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID CONTRAFUND K6 (1),Mutual Fund,,,"3,656,513,976",,43,8,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID DIVERSFD INTL K6 (1),Mutual Fund,,,"287,770,659",,43,9,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID EMERGING MKTS K (1),Mutual Fund,,,"470,435,296",,43,10,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID EMRG MKTS IDX (1),Mutual Fund,,,"294,245,576",,43,11,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID EQ DIV INCOME K (1),Mutual Fund,,,"429,245,783",,43,12,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID EQUITY INCOME K6 (1),Mutual Fund,,,"72,252,730",,43,13,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FDM IDX 2010 IPR (1),Mutual Fund,,,"1,085,869",,43,14,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FDM IDX 2015 IPR (1),Mutual Fund,,,"866,024",,43,15,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FDM IDX 2020 IPR (1),Mutual Fund,,,"3,090,347",,43,16,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FDM IDX 2025 IPR (1),Mutual Fund,,,"13,998,281",,43,17,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FDM IDX 2030 IPR (1),Mutual Fund,,,"21,428,337",,43,18,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FDM IDX 2035 IPR (1),Mutual Fund,,,"26,067,431",,43,19,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FDM IDX 2040 IPR (1),Mutual Fund,,,"32,997,971",,43,20,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FDM IDX 2045 IPR (1),Mutual Fund,,,"26,245,646",,43,21,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FDM IDX 2050 IPR (1),Mutual Fund,,,"21,870,358",,43,22,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FDM IDX 2055 IPR (1),Mutual Fund,,,"18,543,053",,43,23,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FDM IDX 2060 IPR (1),Mutual Fund,,,"17,273,278",,43,24,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FDM IDX 2065 IPR (1),Mutual Fund,,,"6,837,357",,43,25,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FDM IDX 2070 IPR (1),Mutual Fund,,,"114,905",,43,26,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FDM IDX INC IPR (1),Mutual Fund,,,"3,298,063",,43,27,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FLEX FREEDOMBLEND 2070 FUND (1),Mutual Fund,,,"4,976",,43,28,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FRDM BLD 2010 K6 (1),Mutual Fund,,,"1,414",,43,29,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FRDM BLD 2015 K6 (1),Mutual Fund,,,"689,826",,43,30,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FRDM BLD 2020 K6 (1),Mutual Fund,,,"2,234,832",,43,31,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FRDM BLD 2025 K6 (1),Mutual Fund,,,"4,349,469",,43,32,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FRDM BLD 2030 K6 (1),Mutual Fund,,,"14,628,442",,43,33,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FRDM BLD 2035 K6 (1),Mutual Fund,,,"31,450,115",,43,34,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FRDM BLD 2040 K6 (1),Mutual Fund,,,"26,248,745",,43,35,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FRDM BLD 2045 K6 (1),Mutual Fund,,,"15,045,226",,43,36,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FRDM BLD 2050 K6 (1),Mutual Fund,,,"11,211,104",,43,37,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FRDM BLD 2055 K6 (1),Mutual Fund,,,"7,240,524",,43,38,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FRDM BLD 2060 K6 (1),Mutual Fund,,,"4,712,306",,43,39,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FRDM BLD 2065 K6 (1),Mutual Fund,,,"6,174,318",,43,40,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FRDM BLD 2070 K6 (1),Mutual Fund,,,"14,495",,43,41,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FRDM BLD INC K6 (1),Mutual Fund,,,"80,197",,43,42,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FREEDOM 2010 K6 (1),Mutual Fund,,,"13,225,021",,43,43,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FREEDOM 2015 K6 (1),Mutual Fund,,,"27,702,406",,43,44,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FREEDOM 2020 K6 (1),Mutual Fund,,,"118,728,469",,43,45,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FREEDOM 2025 K6 (1),Mutual Fund,,,"361,501,225",,43,46,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FREEDOM 2030 K6 (1),Mutual Fund,,,"766,099,462",,43,47,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FREEDOM 2035 K6 (1),Mutual Fund,,,"1,010,622,355",,43,48,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FREEDOM 2040 K6 (1),Mutual Fund,,,"882,123,089",,43,49,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FREEDOM 2045 K6 (1),Mutual Fund,,,"637,884,107",,44,1,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FREEDOM 2050 K6 (1),Mutual Fund,,,"494,357,596",,44,2,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FREEDOM 2055 K6 (1),Mutual Fund,,,"354,097,134",,44,3,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FREEDOM 2060 K6 (1),Mutual Fund,,,"252,891,727",,44,4,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FREEDOM 2065 K6 (1),Mutual Fund,,,"79,768,119",,44,5,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FREEDOM 2070 K6 (1),Mutual Fund,,,"355,196",,44,6,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID FREEDOM INC K6 (1),Mutual Fund,,,"8,894,347",,44,7,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID GROWTH & INC K (1),Mutual Fund,,,"1,139,004,947",,44,8,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID GROWTH CO K6 (1),Mutual Fund,,,"1,890,607,719",,44,9,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID GROWTH STRAT K6 (1),Mutual Fund,,,"127,717,866",,44,10,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID INFL PR BD IDX (1),Mutual Fund,,,"85,524,217",,44,11,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID INTERMED BOND (1),Mutual Fund,,,"350,904,721",,44,12,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID INTL CAP APPR K6 (1),Mutual Fund,,,"193,629,487",,44,13,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID INTL INDEX (1),Mutual Fund,,,"1,004,662,457",,44,14,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID INTL SUSTAINBLTYINDEX FUND (1),Mutual Fund,,,971,,44,15,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID INTM TR BD IDX (1),Mutual Fund,,,"866,255,856",,44,16,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID LG CAP GR IDX (1),Mutual Fund,,,"388,905,572",,44,17,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID LG CAP VAL IDX (1),Mutual Fund,,,"969,357,962",,44,18,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID LOW-PRICED ST K6 (1),Mutual Fund,,,"502,684,349",,44,19,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID LT TR BD IDX (1),Mutual Fund,,,"29,936,154",,44,20,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID MAGELLAN K6 (1),Mutual Fund,,,"253,799,402",,44,21,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID MGD RET 2015 K6 (1),Mutual Fund,,,"4,159",,44,22,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID MGD RET 2020 K6 (1),Mutual Fund,,,"37,851",,44,23,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID MGD RET 2025 K6 (1),Mutual Fund,,,"463,423",,44,24,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID MGD RET 2030 K6 (1),Mutual Fund,,,"808,679",,44,25,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID MGD RET 2035 K6 (1),Mutual Fund,,,"2,702,221",,44,26,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID MGD RET INC K6 (1),Mutual Fund,,,"616,747",,44,27,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID MID CAP GR IDX (1),Mutual Fund,,,"19,272,678",,44,28,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID MID CAP IDX (1),Mutual Fund,,,"77,721,105",,44,29,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID MID CAP STOCK K6 (1),Mutual Fund,,,"139,975,254",,44,30,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID MID CAP VAL IDX (1),Mutual Fund,,,"3,232,357",,44,31,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID NASDAQ COMP INDX (1),Mutual Fund,,,"390,716,245",,44,32,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID OTC K6 (1),Mutual Fund,,,"348,062,956",,44,33,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID OVERSEAS K (1),Mutual Fund,,,"755,582,825",,44,34,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID PURITAN K6 (1),Mutual Fund,,,"131,338,083",,44,35,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID REAL ESTATE IDX (1),Mutual Fund,,,"46,538,479",,44,36,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID SELECT ENTERPRISTECH SERVICES PORT (1),Mutual Fund,,,"33,530",,44,37,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID SHORT DURATIONHIGH INCOME FUND (1),Mutual Fund,,,"105,385",,44,38,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID SM CAP DISCOVERY (1),Mutual Fund,,,"100,697,212",,44,39,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID SM CAP GR IDX (1),Mutual Fund,,,"12,865,499",,44,40,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID SM CAP IDX (1),Mutual Fund,,,"86,366,909",,44,41,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID SM CAP VAL IDX (1),Mutual Fund,,,"12,074,687",,44,42,Fidelity_401K _5500.pdf,Fidelity_401K _5500
,FID SMALL CAP GR K6 (1),Mutual Fund,,,"141,357,648",,44,43,Fidelity_401K _5500.pdf,Fidelity_401K _5500
